"subtype","dataset","disease_group","UMAP_1","UMAP_2","trimester"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.658377935804679,-0.646619584474983,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-3.77943443290169,1.10639027127224,"Late"
"Pro-inflammatory","GSE290578","Normal 3rd trimester / Preeclampsia",-1.39126574031289,6.12663129338222,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",0.647934804044412,2.20799067982632,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",-0.144464453377082,1.36325553425747,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",0.503044793687508,1.76794460782009,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.353323420204475,-1.98815151682896,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",6.20178795822685,7.42958167561489,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.0758516990321418,-1.85081764689487,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-1.7720907830375,-0.612105932150306,"Late"
"Pro-inflammatory","GSE290578","Normal 3rd trimester / Preeclampsia",-1.56934272281106,6.33616689213711,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-2.17543708316262,-0.10035228363079,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-2.12061189643319,-0.425267186079445,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",0.70976902016227,-6.42348095408482,"Late"
"MHCII+ Antigen-presenting","GSE290578","Normal 3rd trimester / Preeclampsia",-0.409566634960725,-0.281458582792701,"Late"
"Homeostatic","GSE290578","Normal 3rd trimester / Preeclampsia",-2.81224225989754,0.566895846213875,"Late"
"Vascular remodeling","GSE290578","Normal 3rd trimester / Preeclampsia",-0.865920057215049,-1.67768331996006,"Late"
